Day of Simulation[],Month[],Day of Month[],DST Indicator[1=yes 0=no],Hour[],DayType,Power Cook IT Light Other White
17,1,17,1,19,Thursday,1035.296
17,1,17,1,20,Thursday,896.448
17,1,17,1,21,Thursday,854.855
17,1,17,1,22,Thursday,709.289
17,1,17,1,23,Thursday,563.353
17,1,17,1,24,Thursday,478.195
18,1,18,1,1,Friday,417.15
18,1,18,1,2,Friday,383.285
18,1,18,1,3,Friday,371.115
18,1,18,1,4,Friday,370.019
18,1,18,1,5,Friday,401.484
18,1,18,1,6,Friday,475.637
18,1,18,1,7,Friday,588.172
18,1,18,1,8,Friday,622.447
18,1,18,1,9,Friday,614.693
18,1,18,1,10,Friday,601.794
18,1,18,1,11,Friday,644.683
18,1,18,1,12,Friday,671.489
18,1,18,1,13,Friday,632.589
18,1,18,1,14,Friday,621.253
18,1,18,1,15,Friday,668.336
18,1,18,1,16,Friday,893.497
18,1,18,1,17,Friday,1256.613
18,1,18,1,18,Friday,1088.619
18,1,18,1,19,Friday,1035.296
18,1,18,1,20,Friday,896.448
18,1,18,1,21,Friday,854.855
18,1,18,1,22,Friday,709.289
18,1,18,1,23,Friday,563.353
18,1,18,1,24,Friday,478.195
19,1,19,1,1,Saturday,435.686
19,1,19,1,2,Saturday,393.04
19,1,19,1,3,Saturday,372.574
19,1,19,1,4,Saturday,368.858
19,1,19,1,5,Saturday,373.916
19,1,19,1,6,Saturday,397.582
19,1,19,1,7,Saturday,513.077
19,1,19,1,8,Saturday,646.167
19,1,19,1,9,Saturday,703.051
19,1,19,1,10,Saturday,789.731
19,1,19,1,11,Saturday,861.681
19,1,19,1,12,Saturday,880.934
19,1,19,1,13,Saturday,805.485
19,1,19,1,14,Saturday,820.541
19,1,19,1,15,Saturday,810.902
19,1,19,1,16,Saturday,920.451
19,1,19,1,17,Saturday,1242.517
19,1,19,1,18,Saturday,1013.837
19,1,19,1,19,Saturday,971.465
19,1,19,1,20,Saturday,875.975
19,1,19,1,21,Saturday,816.569
19,1,19,1,22,Saturday,710.323
19,1,19,1,23,Saturday,560.593
19,1,19,1,24,Saturday,486.409
20,1,20,1,1,Sunday,435.686
20,1,20,1,2,Sunday,393.04
20,1,20,1,3,Sunday,372.574
20,1,20,1,4,Sunday,368.858
20,1,20,1,5,Sunday,373.916
20,1,20,1,6,Sunday,397.582
20,1,20,1,7,Sunday,513.077
20,1,20,1,8,Sunday,646.167
20,1,20,1,9,Sunday,703.051
20,1,20,1,10,Sunday,789.731
20,1,20,1,11,Sunday,861.681
20,1,20,1,12,Sunday,880.934
20,1,20,1,13,Sunday,805.485
20,1,20,1,14,Sunday,820.541
20,1,20,1,15,Sunday,810.902
20,1,20,1,16,Sunday,920.451
20,1,20,1,17,Sunday,1242.517
20,1,20,1,18,Sunday,1013.837
20,1,20,1,19,Sunday,971.465
20,1,20,1,20,Sunday,875.975
20,1,20,1,21,Sunday,816.569
20,1,20,1,22,Sunday,710.323
20,1,20,1,23,Sunday,560.593
20,1,20,1,24,Sunday,486.409
21,1,21,1,1,Monday,417.15
21,1,21,1,2,Monday,383.285
21,1,21,1,3,Monday,371.115
21,1,21,1,4,Monday,370.019
21,1,21,1,5,Monday,401.484
21,1,21,1,6,Monday,475.637
21,1,21,1,7,Monday,588.172
21,1,21,1,8,Monday,622.447
21,1,21,1,9,Monday,614.693
21,1,21,1,10,Monday,601.794
21,1,21,1,11,Monday,644.683
21,1,21,1,12,Monday,671.489
21,1,21,1,13,Monday,632.589
21,1,21,1,14,Monday,621.253
21,1,21,1,15,Monday,668.336
21,1,21,1,16,Monday,893.497
21,1,21,1,17,Monday,1256.613
21,1,21,1,18,Monday,1088.619
21,1,21,1,19,Monday,1035.296
21,1,21,1,20,Monday,896.448
21,1,21,1,21,Monday,854.855
21,1,21,1,22,Monday,709.289
21,1,21,1,23,Monday,563.353
21,1,21,1,24,Monday,478.195
22,1,22,1,1,Tuesday,417.15
22,1,22,1,2,Tuesday,383.285
22,1,22,1,3,Tuesday,371.115
22,1,22,1,4,Tuesday,370.019
22,1,22,1,5,Tuesday,401.484
22,1,22,1,6,Tuesday,475.637
22,1,22,1,7,Tuesday,588.172
22,1,22,1,8,Tuesday,622.447
22,1,22,1,9,Tuesday,614.693
22,1,22,1,10,Tuesday,601.794
22,1,22,1,11,Tuesday,644.683
22,1,22,1,12,Tuesday,671.489
22,1,22,1,13,Tuesday,632.589
22,1,22,1,14,Tuesday,621.253
22,1,22,1,15,Tuesday,668.336
22,1,22,1,16,Tuesday,893.497
22,1,22,1,17,Tuesday,1256.613
22,1,22,1,18,Tuesday,1088.619
22,1,22,1,19,Tuesday,1035.296
22,1,22,1,20,Tuesday,896.448
22,1,22,1,21,Tuesday,854.855
22,1,22,1,22,Tuesday,709.289
22,1,22,1,23,Tuesday,563.353
22,1,22,1,24,Tuesday,478.195
23,1,23,1,1,Wednesday,417.15
23,1,23,1,2,Wednesday,383.285
23,1,23,1,3,Wednesday,371.115
23,1,23,1,4,Wednesday,370.019
23,1,23,1,5,Wednesday,401.484
23,1,23,1,6,Wednesday,475.637
23,1,23,1,7,Wednesday,588.172
23,1,23,1,8,Wednesday,622.447
23,1,23,1,9,Wednesday,614.693
23,1,23,1,10,Wednesday,601.794
23,1,23,1,11,Wednesday,644.683
23,1,23,1,12,Wednesday,671.489
23,1,23,1,13,Wednesday,632.589
23,1,23,1,14,Wednesday,621.253
23,1,23,1,15,Wednesday,668.336
23,1,23,1,16,Wednesday,893.497
23,1,23,1,17,Wednesday,1256.613
23,1,23,1,18,Wednesday,1088.619
23,1,23,1,19,Wednesday,1035.296
23,1,23,1,20,Wednesday,896.448
23,1,23,1,21,Wednesday,854.855
23,1,23,1,22,Wednesday,709.289
23,1,23,1,23,Wednesday,563.353
23,1,23,1,24,Wednesday,478.195
24,1,24,1,1,Thursday,417.15
24,1,24,1,2,Thursday,383.285
24,1,24,1,3,Thursday,371.115
24,1,24,1,4,Thursday,370.019
24,1,24,1,5,Thursday,401.484
24,1,24,1,6,Thursday,475.637
24,1,24,1,7,Thursday,588.172
24,1,24,1,8,Thursday,622.447
